"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C10,C9,C8,C7,C6,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";6;"10 nF";;;
2;"U2,U1";"TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.85mm_Vertical";2;"LMD18200";;;
3;"A1,A1";"Arduino_Nano";2;"Arduino_Nano_v3.x";;;
4;"R4,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2.2 k";;;
5;"J9,J8,J7,J6";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";4;"Screw_Terminal_01x02";;;
6;"J5,J4";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03_Male";;;
7;"J3,J2";"TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal";2;"Screw_Terminal_01x04";;;
8;"C4,C3,C1,C2";"C_2312";4;"10uF_t";;;
9;"Logo1";"OSHW-Symbol_6.7x6mm_SilkScreen";1;"Logo_Open_Hardware_Small";;;
10;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole";;;
11;"J1";"PinSocket_1x10_P2.54mm_Horizontal";1;"Conn_01x10_Female";;;
